x,y1,y2,y3
0.145741,2.931745,0.796428
0.140344,2.955995,0.792883
0.135171,2.980245,0.789034
0.130212,3.004495,0.786217
0.125458,3.028745,0.782880
0.120899,3.052995,0.779841
0.114405,3.089395,0.774477
0.110300,3.113645,0.772115
0.104450,3.150045,0.766474
0.100750,3.174295,0.763255
0.095475,3.210695,0.758315
0.090516,3.247095,0.753644
0.085852,3.283495,0.748469
0.079364,3.338120,0.742089
0.075356,3.374520,0.736858
0.069775,3.429145,0.730094
0.064670,3.483770,0.722864
0.059996,3.538395,0.716127
0.054364,3.611245,0.000000
0.049343,3.684095,0.000000
0.044858,3.756945,0.000250
0.040847,3.829795,0.000000
0.035594,3.939095,0.000000
0.029136,4.103070,0.000000
0.025599,4.212370,0.000000
0.019941,4.431020,0.000000
0.014001,4.759020,0.000000
0.010055,5.087020,0.000000
0.004167,6.071120,0.000000
0.145741,2.931745,0.796002
0.140344,2.955995,0.792686
0.135171,2.980245,0.790091
0.130212,3.004495,0.786176
0.125458,3.028745,0.782770
0.120899,3.052995,0.779641
0.114405,3.089395,0.774890
0.110300,3.113645,0.771572
0.104450,3.150045,0.767069
0.100750,3.174295,0.764012
0.095475,3.210695,0.759120
0.090516,3.247095,0.754147
0.085852,3.283495,0.748981
0.079364,3.338120,0.741026
0.075356,3.374520,0.737172
0.069775,3.429145,0.730676
0.064670,3.483770,0.723760
0.059996,3.538395,0.000000
0.054364,3.611245,0.000000
0.049343,3.684095,0.000000
0.044858,3.756945,0.000000
0.040847,3.829795,0.000000
0.035594,3.939095,0.000000
0.029136,4.103070,0.000000
0.025599,4.212370,0.000250
0.019941,4.431020,0.000000
0.014001,4.759020,0.000000
0.010055,5.087020,0.000000
0.004167,6.071120,0.000000
0.145741,2.931745,0.796047
0.140344,2.955995,0.792252
0.135171,2.980245,0.789281
0.130212,3.004495,0.785784
0.125458,3.028745,0.783261
0.120899,3.052995,0.779365
0.114405,3.089395,0.774742
0.110300,3.113645,0.772098
0.104450,3.150045,0.766056
0.100750,3.174295,0.763563
0.095475,3.210695,0.758817
0.090516,3.247095,0.753816
0.085852,3.283495,0.749055
0.079364,3.338120,0.741959
0.075356,3.374520,0.737263
0.069775,3.429145,0.729423
0.064670,3.483770,0.723581
0.059996,3.538395,0.716115
0.054364,3.611245,0.000000
0.049343,3.684095,0.000000
0.044858,3.756945,0.000000
0.040847,3.829795,0.000000
0.035594,3.939095,0.000000
0.029136,4.103070,0.000000
0.025599,4.212370,0.000000
0.019941,4.431020,0.000000
0.014001,4.759020,0.000000
0.010055,5.087020,0.000000
0.004167,6.071120,0.000000
0.145741,2.931745,0.796188
0.140344,2.955995,0.793274
0.135171,2.980245,0.789381
0.130212,3.004495,0.785643
0.125458,3.028745,0.783073
0.120899,3.052995,0.779037
0.114405,3.089395,0.775090
0.110300,3.113645,0.771276
0.104450,3.150045,0.766955
0.100750,3.174295,0.763358
0.095475,3.210695,0.758693
0.090516,3.247095,0.753736
0.085852,3.283495,0.749000
