effDif_Rate,aveInf_Rate_1D
0.000000,inf
0.020000,108.912484
0.040000,54.456242
0.060000,36.304161
0.080000,27.228121
0.100000,21.782497
0.120000,18.152081
0.140000,15.558926
0.160000,13.614060
0.180000,12.101387
0.200000,10.891248
0.220000,9.901135
0.240000,9.076040
0.260000,8.377883
0.280000,7.779463
0.300000,7.260832
0.320000,6.807030
0.340000,6.406617
0.360000,6.050694
0.380000,5.732236
0.400000,5.445624
0.420000,5.186309
0.440000,4.950567
0.460000,4.735325
0.480000,4.538020
0.500000,4.356499
0.520000,4.188942
0.540000,4.033796
0.560000,3.889732
0.580000,3.755603
0.600000,3.630416
0.620000,3.513306
0.640000,3.403515
0.660000,3.300378
0.680000,3.203308
0.700000,3.111785
0.720000,3.025347
0.740000,2.943581
0.760000,2.866118
0.780000,2.792628
0.800000,2.722812
0.820000,2.656402
0.840000,2.593154
0.860000,2.532848
0.880000,2.475284
0.900000,2.420277
0.920000,2.367663
0.940000,2.317287
0.960000,2.269010
0.980000,2.222704
1.000000,2.178250
1.020000,2.135539
1.040000,2.094471
1.060000,2.054953
1.080000,2.016898
1.100000,1.980227
1.120000,1.944866
1.140000,1.910745
1.160000,1.877801
1.180000,1.845974
1.200000,1.815208
1.220000,1.785451
1.240000,1.756653
1.260000,1.728770
1.280000,1.701758
1.300000,1.675577
1.320000,1.650189
1.340000,1.625559
1.360000,1.601654
1.380000,1.578442
1.400000,1.555893
1.420000,1.533979
1.440000,1.512673
1.460000,1.491952
1.480000,1.471790
1.500000,1.452166
1.520000,1.433059
1.540000,1.414448
1.560000,1.396314
1.580000,1.378639
1.600000,1.361406
1.620000,1.344599
1.640000,1.328201
1.660000,1.312199
1.680000,1.296577
1.700000,1.281323
1.720000,1.266424
1.740000,1.251868
1.760000,1.237642
1.780000,1.223736
1.800000,1.210139
1.820000,1.196840
1.840000,1.183831
1.860000,1.171102
1.880000,1.158643
1.900000,1.146447
1.920000,1.134505
1.940000,1.122809
1.960000,1.111352
1.980000,1.100126
2.000000,1.089125
