effDif_Rate,aveInf_Rate_1D
0.000000,inf
0.020000,100.000000
0.040000,50.000000
0.060000,33.333333
0.080000,25.000000
0.100000,20.000000
0.120000,16.666667
0.140000,14.285714
0.160000,12.500000
0.180000,11.111111
0.200000,10.000000
0.220000,9.090909
0.240000,8.333333
0.260000,7.692308
0.280000,7.142857
0.300000,6.666667
0.320000,6.250000
0.340000,5.882353
0.360000,5.555556
0.380000,5.263158
0.400000,5.000000
0.420000,4.761905
0.440000,4.545455
0.460000,4.347826
0.480000,4.166667
0.500000,4.000000
0.520000,3.846154
0.540000,3.703704
0.560000,3.571429
0.580000,3.448276
0.600000,3.333333
0.620000,3.225806
0.640000,3.125000
0.660000,3.030303
0.680000,2.941176
0.700000,2.857143
0.720000,2.777778
0.740000,2.702703
0.760000,2.631579
0.780000,2.564103
0.800000,2.500000
0.820000,2.439024
0.840000,2.380952
0.860000,2.325581
0.880000,2.272727
0.900000,2.222222
0.920000,2.173913
0.940000,2.127660
0.960000,2.083333
0.980000,2.040816
1.000000,2.000000
1.020000,1.960784
1.040000,1.923077
1.060000,1.886792
1.080000,1.851852
1.100000,1.818182
1.120000,1.785714
1.140000,1.754386
1.160000,1.724138
1.180000,1.694915
1.200000,1.666667
1.220000,1.639344
1.240000,1.612903
1.260000,1.587302
1.280000,1.562500
1.300000,1.538462
1.320000,1.515152
1.340000,1.492537
1.360000,1.470588
1.380000,1.449275
1.400000,1.428571
1.420000,1.408451
1.440000,1.388889
1.460000,1.369863
1.480000,1.351351
1.500000,1.333333
1.520000,1.315789
1.540000,1.298701
1.560000,1.282051
1.580000,1.265823
1.600000,1.250000
1.620000,1.234568
1.640000,1.219512
1.660000,1.204819
1.680000,1.190476
1.700000,1.176471
1.720000,1.162791
1.740000,1.149425
1.760000,1.136364
1.780000,1.123596
1.800000,1.111111
1.820000,1.098901
1.840000,1.086957
1.860000,1.075269
1.880000,1.063830
1.900000,1.052632
1.920000,1.041667
1.940000,1.030928
1.960000,1.020408
1.980000,1.010101
2.000000,1.000000
